case_id,node_label,node_type,category,normalized_key,aliases,evidence,page,source_layer
feedrate_80,Temporal shifts sometimes,attribute,observation,TEMPORAL_SHIFTS_SOMETIMES,Temporal shifts occasionally,Rem : Temporal shifts sometimes !,6,layer03_candidates
feedrate_80,Spindle power seems to remain same or decreases a little when feedrate decreases,event,observation,SPINDLE_POWER_SAME_OR_DECREASES_FEEDRATE,Spindle power seems stable or slightly decreasing with feedrate reduction,Spindle power seems to be remains the sema or decreases a little when feedrate decreases,34,layer03_candidates
feedrate_80,Audio RMS seems to decrease when feedrate decreases for some time slices,event,observation,AUDIO_RMS_SENSE_DECREASES_FEEDRATE,Audio RMS seems to decrease with feedrate reduction in some slices,"Audio RMS, seems to decrease when feedrate decreases for some times slices… => Not obvious",32,layer03_candidates
feedrate_80,Audio RMS seems to increase when feedrate decreases,event,observation,AUDIO_RMS_SENSE_INCREASES_FEEDRATE,Audio RMS seems to increase with feedrate reduction,"Audio RMS, seems to increase when feedrate decreases ?",39,layer03_candidates
feedrate_80,FEEDRATE_80,event,,,,Part #61 to Part #70 : Feedrate reduced to 80%,3,layer05_triples_only
feedrate_80,PART_61_70,entity,,,,Part #61 to Part #70 : Feedrate reduced to 80%,3,layer05_triples_only
feedrate_80,OP_120_EBAUCHE_EXTER,entity,,,,Operation 120: EBAUCHE EXTER,4,layer05_triples_only
feedrate_80,SPINDLE_POWER_DECREASES_FEEDRATE,event,,,,Spindle power decreases when feedrate decreases => OK,6,layer05_triples_only
feedrate_80,CUTTING_FORCE_DECREASES_FEEDRATE,event,,,,Cutting Force decreases when feedrate decreases => OK,7,layer05_triples_only
feedrate_80,VIB1_RMS_STABLE_FEEDRATE,event,,,,RMS remains the same when feedrate decreases,8,layer05_triples_only
feedrate_80,VIB1_RMS_INCREASES_SECOND_PART_FEEDRATE,event,,,,RMS increases (in the 2nd part of the signal) when feedrate decreases,14,layer05_triples_only
feedrate_80,AUDIO_RMS_INCREASES_FEEDRATE,event,,,,RMS audio increases when feedrate decreases => OK,15,layer05_triples_only
feedrate_80,AUDIO_RMS_DECREASES_FEEDRATE,event,,,,"Audio RMS, decreases when feedrate decreases",22,layer05_triples_only
feedrate_80,CUTTING_TIME_INCREASES_FEEDRATE,event,,,,Cutting time increases when feedrate decreases => OK,31,layer05_triples_only
feedrate_80,TEMPORAL_SHIFTS_SOMETIMES,event,,,,Rem : Temporal shifts sometimes !,6,layer05_triples_only
feedrate_80,AI1,entity,,,,Spindle power decreases when feedrate decreases => OK,6,layer05_triples_only
feedrate_80,Vib2,entity,,,,Cutting Force decreases when feedrate decreases => OK,7,layer05_triples_only
feedrate_80,Vib1,entity,,,,RMS remains the same when feedrate decreases,8,layer05_triples_only
feedrate_80,Vib11,entity,,,,RMS audio increases when feedrate decreases => OK,15,layer05_triples_only
material_316L,316L grade instead of 303 stainless steel,event,condition,GRADE_316L_VS_303,"316L grade instead of 303 stainless steel, 316L instead of 303 stainless steel",Case of the changes in the material for grade 316L instead of the 303 stainless steel reference grade,1,layer03_candidates
material_316L,Spindle Power (AI1),entity,,,,Spindle power increases when 316L grade => OK,6,layer05_triples_only
material_316L,Cutting Force (Fz),entity,,,,Cutting Force increases when 316L grade => OK,7,layer05_triples_only
material_316L,Vibration RMS (Vib1),entity,,,,RMS decreases when 316L grade,8,layer05_triples_only
material_316L,Audio RMS (Vib11),entity,,,,RMS decreases when 316L grade,9,layer05_triples_only
